Algorithm, Avg Precision, Avg Recall, Avg F1, Accuracy
TorchRecurrent, 0.503, 0.6627, 0.3729, 0.5763
TorchRecurrentLabeled, 0.0045, 0.5, 0.009, 0.009
Multinomial Naive Bayes TF IDF, 0.5042, 0.6852, 0.3733, 0.5718
Multinomial Naive Bayes Counts, 0.5102, 0.8631, 0.4406, 0.7277
Decision Tree, 0.496, 0.4989, 0.4974, 0.9898
Support Vector Classifier, 0.5102, 0.6406, 0.4798, 0.8328
Logistic Regression Operator, 0.5725, 0.7819, 0.6065, 0.9435
Logistic Regression PCA, 0.5153, 0.8234, 0.5031, 0.896
Logistic Regression, 0.5495, 0.8535, 0.5708, 0.9277
Multinomial Hidden Markov Model, 0.5026, 0.5397, 0.4506, 0.774
